pathway	pval	padj	log2err	ES	NES	size	leadingEdge
EUKARYOTIC TRANSLATION ELONGATION%REACTOME%R-HSA-156842.2	2.465279165881574e-7	0.0012510810952427406	0.674962860011025	0.4246746555041959	2.33089294088585	87	
PEPTIDE CHAIN ELONGATION%REACTOME%R-HSA-156902.2	5.213697676523684e-7	0.0015568629419202913	0.6594443980379349	0.42196858496587264	2.300866490606844	85	
VIRAL MRNA TRANSLATION%REACTOME%R-HSA-192823.4	5.599890684924014e-7	0.0015568629419202913	0.6594443980379349	0.4212542505342103	2.2969714419812894	85	
SELENOAMINO ACID METABOLISM%REACTOME DATABASE ID RELEASE 75%2408522	3.000014616012806e-7	0.0012510810952427406	0.674962860011025	0.3970699416695443	2.240945581431866	105	
SRP-DEPENDENT COTRANSLATIONAL PROTEIN TARGETING TO MEMBRANE%GOBP%GO:0006614	2.68428449981539e-6	0.0046657071084441415	0.6272567397185284	0.4052173159508256	2.2279257364746177	89	
CYTOPLASMIC RIBOSOMAL PROTEINS%WIKIPATHWAYS_20210210%WP477%HOMO SAPIENS	2.3471866298224417e-6	0.0046657071084441415	0.6272567397185284	0.41030846483148425	2.2153095501765034	81	
EUKARYOTIC TRANSLATION TERMINATION%REACTOME%R-HSA-72764.4	5.956411573611792e-6	0.006209931341213644	0.610526878385931	0.3948349236639718	2.170842294895176	89	
FORMATION OF A POOL OF FREE 40S SUBUNITS%REACTOME%R-HSA-72689.2	5.087520086457283e-6	0.0060617801830138525	0.610526878385931	0.3921478129741204	2.1699610512041976	96	
SELENOCYSTEINE SYNTHESIS%REACTOME DATABASE ID RELEASE 75%2408557	9.072021361372439e-6	0.007566519416452682	0.5933254763964051	0.3922535763414224	2.161659802100343	88	
L13A-MEDIATED TRANSLATIONAL SILENCING OF CERULOPLASMIN EXPRESSION%REACTOME%R-HSA-156827.3	2.7970188288736537e-6	0.0046657071084441415	0.6272567397185284	0.37598244002329384	2.130623187298796	106	
NONSENSE MEDIATED DECAY (NMD) INDEPENDENT OF THE EXON JUNCTION COMPLEX (EJC)%REACTOME%R-HSA-975956.1	5.654804704004104e-6	0.006209931341213644	0.610526878385931	0.3833006309120247	2.120210355213714	91	
RESPONSE OF EIF2AK4 (GCN2) TO AMINO ACID DEFICIENCY%REACTOME DATABASE ID RELEASE 75%9633012	1.4605919819372479e-5	0.010151722854456346	0.5933254763964051	0.37972171798214577	2.101200901946581	96	
SRP-DEPENDENT COTRANSLATIONAL PROTEIN TARGETING TO MEMBRANE%REACTOME DATABASE ID RELEASE 75%1799339	2.7644123953322672e-6	0.0046657071084441415	0.6272567397185284	0.3704901962169502	2.0923530866352276	108	
PINK1-PRKN MEDIATED MITOPHAGY%REACTOME%R-HSA-5205685.3	4.30574583527058e-4	0.12600727417219043	0.49849310876659025	0.5715467832172907	2.0893388108785835	19	
MITOPHAGY%REACTOME DATABASE ID RELEASE 75%5205647	5.478901305975172e-4	0.14740895594350298	0.47727081536286214	0.527920300210444	2.081184645515364	24	
GTP HYDROLYSIS AND JOINING OF THE 60S RIBOSOMAL SUBUNIT%REACTOME%R-HSA-72706.2	8.228576330196493e-6	0.007224256934947773	0.5933254763964051	0.3663002177709018	2.072223864357857	107	
TRANSLATIONAL INITIATION%GOBP%GO:0006413	3.248187413577655e-6	0.004925728567808078	0.6272567397185284	0.3594084607180304	2.0580306179869754	120	
COTRANSLATIONAL PROTEIN TARGETING TO MEMBRANE%GOBP%GO:0006613	7.048897432443615e-5	0.03177909677583566	0.5384340963099162	0.3631722630193306	2.0096240232803293	96	
MATURATION OF LSU-RRNA%GOBP%GO:0000470	8.621785461066787e-4	0.17992158825682372	0.47727081536286214	0.5016182219595918	2.009523552030086	26	
REGULATION OF EXPRESSION OF SLITS AND ROBOS%REACTOME DATABASE ID RELEASE 75%9010553	4.26353539021649e-6	0.005470771834169329	0.610526878385931	0.32962062485994104	1.9943440235375758	153	
PROTEIN TARGETING TO ER%GOBP%GO:0045047	4.9191033403523366e-5	0.024133989064828627	0.557332238758646	0.3544732727976756	1.9882315841581075	103	
INFLUENZA VIRAL RNA TRANSCRIPTION AND REPLICATION%REACTOME DATABASE ID RELEASE 75%168273	1.7933161406166745e-5	0.011965722616650699	0.5756102610711286	0.34111377802367426	1.9868847065929292	128	
ESTABLISHMENT OF PROTEIN LOCALIZATION TO ENDOPLASMIC RETICULUM%GOBP%GO:0072599	3.638092114252868e-5	0.01910358253653471	0.557332238758646	0.34965458394151044	1.9780566267063608	107	
VIRAL TRANSCRIPTION%GOBP%GO:0019083	1.281191974632453e-5	0.009291984056019107	0.5933254763964051	0.3482706873757962	1.9779305199693968	114	
CYTOPLASMIC TRANSLATION%GOBP%GO:0002181	3.8474751968782325e-5	0.01944840416943206	0.557332238758646	0.3487914951140217	1.973173983512025	107	
MAJOR PATHWAY OF RRNA PROCESSING IN THE NUCLEOLUS AND CYTOSOL%REACTOME%R-HSA-6791226.3	3.786545960975075e-6	0.0052636144312521015	0.6272567397185284	0.31660899165969897	1.955771398801989	171	
CAP-DEPENDENT TRANSLATION INITIATION%REACTOME DATABASE ID RELEASE 75%72737	1.9476233490422832e-5	0.012032705587175676	0.5756102610711286	0.3440116026407808	1.9537419391043274	114	
EUKARYOTIC TRANSLATION INITIATION%REACTOME%R-HSA-72613.3	1.9476233490422832e-5	0.012032705587175676	0.5756102610711286	0.3440116026407808	1.9537419391043274	114	
CLEC7A (DECTIN-1) SIGNALING%REACTOME DATABASE ID RELEASE 75%5607764	1.3423289814546067e-4	0.0533128327134388	0.5188480777437918	0.34980635867756416	1.9470069500209066	95	
VIRAL GENE EXPRESSION%GOBP%GO:0019080	1.0005243712309892e-5	0.007947498588811492	0.5933254763964051	0.3164041498862838	1.940369133127093	168	
RRNA PROCESSING IN THE NUCLEUS AND CYTOSOL%REACTOME DATABASE ID RELEASE 75%8868773	8.1744617819469e-6	0.007224256934947773	0.5933254763964051	0.3112580820441076	1.9386706663033202	181	
DEGRADATION OF GLI1 BY THE PROTEASOME%REACTOME%R-HSA-5610780.1	5.462128214681682e-4	0.14740895594350298	0.47727081536286214	0.38353456722633394	1.9043795683867866	56	
PID_PLK1_PATHWAY%MSIGDB_C2%PID_PLK1_PATHWAY	0.0024191389933885094	0.3011466981247293	0.4317076958033464	0.473969043806225	1.8987586869173068	26	
NEGATIVE REGULATION OF NOTCH4 SIGNALING%REACTOME%R-HSA-9604323.1	0.001084118989238572	0.20093543177209575	0.45505986738722953	0.38859434611392873	1.8979306233317765	53	
POSITIVE REGULATION OF INTEGRIN-MEDIATED SIGNALING PATHWAY%GOBP%GO:2001046	0.0016245997010805203	0.24414367219571315	0.45505986738722953	0.8198799199466311	1.8915012230605652	5	
RIBOSOMAL LARGE SUBUNIT BIOGENESIS%GOBP%GO:0042273	7.213315009783215e-4	0.17575786265644408	0.47727081536286214	0.36605219281050794	1.8911745115305538	66	
INNATE IMMUNE RESPONSE ACTIVATING CELL SURFACE RECEPTOR SIGNALING PATHWAY%GOBP%GO:0002220	3.4931824717262394e-4	0.11024005255195543	0.49849310876659025	0.3402341273715093	1.8891491022354905	93	
