pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
EUKARYOTIC TRANSLATION ELONGATION%REACTOME%R-HSA-156842.2	0.0018726591760299626	0.2061916878710772	0.4246746555041959	2.323570000814257	0	87	
PEPTIDE CHAIN ELONGATION%REACTOME%R-HSA-156902.2	0.001869158878504673	0.2061916878710772	0.42196858496587264	2.29955210413906	0	85	
VIRAL MRNA TRANSLATION%REACTOME%R-HSA-192823.4	0.001869158878504673	0.2061916878710772	0.4212542505342103	2.2956592805879397	0	85	
SELENOAMINO ACID METABOLISM%REACTOME DATABASE ID RELEASE 75%2408522	0.0018450184501845018	0.2061916878710772	0.3970699416695443	2.2557583418097784	0	105	
SRP-DEPENDENT COTRANSLATIONAL PROTEIN TARGETING TO MEMBRANE%GOBP%GO:0006614	0.0018796992481203006	0.2061916878710772	0.4052173159508256	2.2196268630162987	0	89	
CYTOPLASMIC RIBOSOMAL PROTEINS%WIKIPATHWAYS_20210210%WP477%HOMO SAPIENS	0.001893939393939394	0.2061916878710772	0.41030846483148425	2.206812782344199	0	81	
FORMATION OF A POOL OF FREE 40S SUBUNITS%REACTOME%R-HSA-72689.2	0.0018975332068311196	0.2061916878710772	0.3921478129741204	2.186711191359973	0	96	
EUKARYOTIC TRANSLATION TERMINATION%REACTOME%R-HSA-72764.4	0.0018796992481203006	0.2061916878710772	0.3948349236639718	2.1627560534157766	0	89	
SELENOCYSTEINE SYNTHESIS%REACTOME DATABASE ID RELEASE 75%2408557	0.0018587360594795538	0.2061916878710772	0.3922535763414224	2.149544791129404	0	88	
L13A-MEDIATED TRANSLATIONAL SILENCING OF CERULOPLASMIN EXPRESSION%REACTOME%R-HSA-156827.3	0.0018248175182481751	0.2061916878710772	0.37598244002329384	2.142288587724679	0	106	
RESPONSE OF EIF2AK4 (GCN2) TO AMINO ACID DEFICIENCY%REACTOME DATABASE ID RELEASE 75%9633012	0.0018975332068311196	0.2061916878710772	0.37972171798214577	2.1174202758305114	0	96	
SRP-DEPENDENT COTRANSLATIONAL PROTEIN TARGETING TO MEMBRANE%REACTOME DATABASE ID RELEASE 75%1799339	0.001834862385321101	0.2061916878710772	0.3704901962169502	2.1124401106528685	0	108	
NONSENSE MEDIATED DECAY (NMD) INDEPENDENT OF THE EXON JUNCTION COMPLEX (EJC)%REACTOME%R-HSA-975956.1	0.0019047619047619048	0.2061916878710772	0.3833006309120247	2.11231790062216	0	91	
TRANSLATIONAL INITIATION%GOBP%GO:0006413	0.0017985611510791368	0.2061916878710772	0.3594084607180304	2.0902765761213424	0	120	
GTP HYDROLYSIS AND JOINING OF THE 60S RIBOSOMAL SUBUNIT%REACTOME%R-HSA-72706.2	0.001838235294117647	0.2061916878710772	0.3663002177709018	2.0871486689012566	0	107	
PINK1-PRKN MEDIATED MITOPHAGY%REACTOME%R-HSA-5205685.3	0.0037105751391465678	0.2507736744377966	0.5715467832172907	2.0698066476669235	1	19	
MITOPHAGY%REACTOME DATABASE ID RELEASE 75%5205647	0.003816793893129771	0.2507736744377966	0.527920300210444	2.047594658955313	1	24	
COTRANSLATIONAL PROTEIN TARGETING TO MEMBRANE%GOBP%GO:0006613	0.0018975332068311196	0.2061916878710772	0.3631722630193306	2.0251365063415707	0	96	
MATURATION OF LSU-RRNA%GOBP%GO:0000470	0.005555555555555556	0.29078947368421054	0.5016182219595918	2.0244870963494086	2	26	
VIRAL TRANSCRIPTION%GOBP%GO:0019083	0.0018050541516245488	0.2061916878710772	0.3482706873757962	2.0099637706060607	0	114	
REGULATION OF EXPRESSION OF SLITS AND ROBOS%REACTOME DATABASE ID RELEASE 75%9010553	0.0017825311942959	0.2061916878710772	0.32962062485994104	2.007339516649849	0	153	
INFLUENZA VIRAL RNA TRANSCRIPTION AND REPLICATION%REACTOME DATABASE ID RELEASE 75%168273	0.0018248175182481751	0.2061916878710772	0.34111377802367426	2.0013678703464186	0	128	
PROTEIN TARGETING TO ER%GOBP%GO:0045047	0.0018726591760299626	0.2061916878710772	0.3544732727976756	1.9993208210236653	0	103	
ESTABLISHMENT OF PROTEIN LOCALIZATION TO ENDOPLASMIC RETICULUM%GOBP%GO:0072599	0.001838235294117647	0.2061916878710772	0.34965458394151044	1.9923032093450168	0	107	
CYTOPLASMIC TRANSLATION%GOBP%GO:0002181	0.001838235294117647	0.2061916878710772	0.3487914951140217	1.9873853998269144	0	107	
EUKARYOTIC TRANSLATION INITIATION%REACTOME%R-HSA-72613.3	0.0018050541516245488	0.2061916878710772	0.3440116026407808	1.9853834475308516	0	114	
CAP-DEPENDENT TRANSLATION INITIATION%REACTOME DATABASE ID RELEASE 75%72737	0.0018050541516245488	0.2061916878710772	0.3440116026407808	1.9853834475308516	0	114	
MAJOR PATHWAY OF RRNA PROCESSING IN THE NUCLEOLUS AND CYTOSOL%REACTOME%R-HSA-6791226.3	0.0017825311942959	0.2061916878710772	0.31660899165969897	1.9692396336963633	0	171	
VIRAL GENE EXPRESSION%GOBP%GO:0019080	0.0017825311942959	0.2061916878710772	0.3164041498862838	1.9589652544485592	0	168	
RRNA PROCESSING IN THE NUCLEUS AND CYTOSOL%REACTOME DATABASE ID RELEASE 75%8868773	0.0018148820326678765	0.2061916878710772	0.3112580820441076	1.951927883288387	0	181	
CLEC7A (DECTIN-1) SIGNALING%REACTOME DATABASE ID RELEASE 75%5607764	0.0019083969465648854	0.2061916878710772	0.34980635867756416	1.9458240617044802	0	95	
PID_PLK1_PATHWAY%MSIGDB_C2%PID_PLK1_PATHWAY	0.005555555555555556	0.29078947368421054	0.473969043806225	1.9128974412178887	2	26	
NEGATIVE REGULATION OF NOTCH4 SIGNALING%REACTOME%R-HSA-9604323.1	0.00375234521575985	0.2507736744377966	0.38859434611392873	1.895017150085895	1	53	
DEGRADATION OF GLI1 BY THE PROTEASOME%REACTOME%R-HSA-5610780.1	0.0037593984962406013	0.2507736744377966	0.38353456722633394	1.8949595660280536	1	56	
INNATE IMMUNE RESPONSE ACTIVATING CELL SURFACE RECEPTOR SIGNALING PATHWAY%GOBP%GO:0002220	0.001890359168241966	0.2061916878710772	0.3402341273715093	1.8874809308729568	0	93	
C-TYPE LECTIN RECEPTORS (CLRS)%REACTOME DATABASE ID RELEASE 75%5621481	0.0018050541516245488	0.2061916878710772	0.32701279106759695	1.8873758905411155	0	116	
SIGNALING BY ROBO RECEPTORS%REACTOME DATABASE ID RELEASE 75%376176	0.0018148820326678765	0.2061916878710772	0.30065094332008707	1.885409546796197	0	181	
RIBOSOMAL LARGE SUBUNIT BIOGENESIS%GOBP%GO:0042273	0.0018248175182481751	0.2061916878710772	0.36605219281050794	1.8850482047803674	0	66	
FATTY ACYL-COA BIOSYNTHESIS%REACTOME%R-HSA-75105.6	0.005681818181818182	0.29078947368421054	0.46023295800235964	1.8808550177177874	2	28	
NIK-->NONCANONICAL NF-KB SIGNALING%REACTOME%R-HSA-5676590.1	0.0036968576709796672	0.2507736744377966	0.3770575171710756	1.8798145896991347	1	57	
INFLUENZA INFECTION%REACTOME DATABASE ID RELEASE 75%168255	0.0017889087656529517	0.2061916878710772	0.31205668583453644	1.875226311552427	0	146	
STIMULATORY C-TYPE LECTIN RECEPTOR SIGNALING PATHWAY%GOBP%GO:0002223	0.0018726591760299626	0.2061916878710772	0.3399604078813732	1.8752126901883341	0	90	
DECTIN-1 MEDIATED NONCANONICAL NF-KB SIGNALING%REACTOME%R-HSA-5607761.1	0.003745318352059925	0.2507736744377966	0.37589886550248347	1.8669531086981317	1	58	
RRNA PROCESSING%REACTOME DATABASE ID RELEASE 75%72312	0.001841620626151013	0.2061916878710772	0.2916640270522916	1.839122212379524	0	191	
POSITIVE REGULATION OF COAGULATION%GOBP%GO:0050820	0.007575757575757576	0.32028985507246377	0.5379662457422176	1.8355229265959851	3	16	
POSITIVE REGULATION OF HEMOSTASIS%GOBP%GO:1900048	0.007575757575757576	0.32028985507246377	0.5379662457422176	1.8355229265959851	3	16	
POSITIVE REGULATION OF BLOOD COAGULATION%GOBP%GO:0030194	0.007575757575757576	0.32028985507246377	0.5379662457422176	1.8355229265959851	3	16	
IL12-MEDIATED SIGNALING EVENTS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%IL12-MEDIATED SIGNALING EVENTS	0.003738317757009346	0.2507736744377966	0.3785123879548126	1.8341592692955797	1	51	
OXYGEN-DEPENDENT PROLINE HYDROXYLATION OF HYPOXIA-INDUCIBLE FACTOR ALPHA%REACTOME%R-HSA-1234176.2	0.003745318352059925	0.2507736744377966	0.3634874375423258	1.8339179175651763	1	61	
